free_text,address,price,price_meter,rooms,area,more,add_link,scraping_date
Inwestycja Panorama - najwyższe piętro,"Mieszkanie na sprzedaż: ul. Wincentego Pstrowskiego, Osiedle Kościuszki, Olsztyn, warmińsko-mazurskie",519 000 zł,9994 zł/m²,3 pokoje,"51,93 m²",Biuro nieruchomości,/pl/oferta/inwestycja-panorama-najwyzsze-pietro-ID4ohZR,01/16/24
Mieszkanie z ogródkiem Olsztyn ul. Kiemliczów,"Mieszkanie na sprzedaż: Gutkowo, Olsztyn, warmińsko-mazurskie",570 000 zł,7945 zł/m²,3 pokoje,"71,74 m²",Inwestycja deweloperska,/pl/oferta/mieszkanie-z-ogrodkiem-olsztyn-ul-kiemliczow-ID4o6tZ,01/16/24
Bianco | mieszkanie 3 pok. M20,"Mieszkanie na sprzedaż: ul. Kardynała Stefana Wyszyńskiego, Kormoran, Olsztyn, warmińsko-mazurskie",,,3 pokoje,"64,29 m²",Inwestycja deweloperska,/pl/oferta/bianco-mieszkanie-3-pok-m20-ID4jWDV,01/16/24
REZERWACJA Villa Symfonia M7,"Mieszkanie na sprzedaż: ul. Wojciecha Kętrzyńskiego, Osiedle Kętrzyńskiego, Olsztyn, warmińsko-mazurskie","391 404,90 zł",8430 zł/m²,2 pokoje,"46,43 m²",Inwestycja deweloperska,/pl/oferta/rezerwacja-villa-symfonia-m7-ID4eY0L,01/16/24
A.24 Apartament nad jeziorem w Olsztynie,"Mieszkanie na sprzedaż: ul. Sielska, Dajtki, Olsztyn, warmińsko-mazurskie",1 253 370 zł,22 555 zł/m²,3 pokoje,"55,57 m²",Inwestycja deweloperska,/pl/oferta/a-24-apartament-nad-jeziorem-w-olsztynie-ID4kXSQ,01/16/24
Os. Leśna| 4-pokojowe z widokiem na las B.III/2,"Mieszkanie na sprzedaż: ul. Leśna, Osiedle Nad Jeziorem Długim, Olsztyn, warmińsko-mazurskie",1 001 056 zł,11 200 zł/m²,4 pokoje,"89,38 m²",Inwestycja deweloperska,/pl/oferta/os-lesna-4-pokojowe-z-widokiem-na-las-b-iii-2-ID4boUw,01/16/24
Apartament z widokiem na jezioro!,"Mieszkanie na sprzedaż: ul. Bałtycka, Likusy, Olsztyn, warmińsko-mazurskie",1 140 000 zł,16 427 zł/m²,3 pokoje,"69,4 m²",Biuro nieruchomości,/pl/oferta/apartament-z-widokiem-na-jezioro-ID4ohQp,01/16/24
Przytulny bezczynszowy apartament z kominkiem,"Mieszkanie na sprzedaż: Jaroty, Olsztyn, warmińsko-mazurskie",650 000 zł,8644 zł/m²,4 pokoje,"75,2 m²","75,2 m²",/pl/oferta/przytulny-bezczynszowy-apartament-z-kominkiem-ID4ohPQ,01/16/24
Apartamenty Wyzwolenia | apartament nr 49,"Mieszkanie na sprzedaż: ul. Wyzwolenia, Śródmieście, Olsztyn, warmińsko-mazurskie",523 900 zł,12 400 zł/m²,2 pokoje,"42,25 m²",Inwestycja deweloperska,/pl/oferta/apartamenty-wyzwolenia-apartament-nr-49-ID4nyxS,01/16/24
Dwupoziomowy słoneczny apartament,"Mieszkanie na sprzedaż: ul. ks. Jerzego Popiełuszki, Osiedle Generałów, Olsztyn, warmińsko-mazurskie",875 000 zł,6359 zł/m²,6 pokoi,"137,6 m²","137,6 m²",/pl/oferta/dwupoziomowy-sloneczny-apartament-ID4ohLc,01/16/24
3-pokojowe z miejscem parkingowym,"Mieszkanie na sprzedaż: ul. Tarasa Szewczenki 5, Podleśna, Olsztyn, warmińsko-mazurskie",625 000 zł,12 019 zł/m²,3 pokoje,52 m²,52 m²,/pl/oferta/3-pokojowe-z-miejscem-parkingowym-ID4ohGU,01/16/24
